Métrica,Pontuação
faithfulness_1,1.0
answer_relevancy_1,0.7618682856081022
context_recall_1,1.0
context_precision_1,0.41111111109740744
faithfulness_2,0.27586206896551724
answer_relevancy_2,0.0
context_recall_2,0.0
context_precision_2,0.0
faithfulness_3,0.0
answer_relevancy_3,0.0
context_recall_3,0.0
context_precision_3,0.0
faithfulness_4,0.05714285714285714
answer_relevancy_4,0.0
context_recall_4,1.0
context_precision_4,0.0
faithfulness_5,0.2
answer_relevancy_5,0.9179738045050564
context_recall_5,0.6666666666666666
context_precision_5,0.14285714284285714
