Métrica,Pontuação
faithfulness_1,0.0
answer_relevancy_1,0.7896810956403701
context_recall_1,0.0
context_precision_1,0.49999999995
faithfulness_2,0.0
answer_relevancy_2,0.0
context_recall_2,0.0
context_precision_2,0.0
faithfulness_3,0.0
answer_relevancy_3,0.0
context_recall_3,0.0
context_precision_3,0.0
faithfulness_4,0.14285714285714285
answer_relevancy_4,0.0
context_recall_4,0.0
context_precision_4,0.0
faithfulness_5,0.0
answer_relevancy_5,0.0
context_recall_5,0.0
context_precision_5,0.19999999998
