Métrica,Pontuação
faithfulness_1,0.0
answer_relevancy_1,0.878246588588472
context_recall_1,1.0
context_precision_1,0.9999999999
faithfulness_2,0.0
answer_relevancy_2,0.0
context_recall_2,0.0
context_precision_2,0.0
faithfulness_3,0.3076923076923077
answer_relevancy_3,0.0
context_recall_3,1.0
context_precision_3,0.9999999999
faithfulness_4,0.4
answer_relevancy_4,0.8624784020021111
context_recall_4,0.0
context_precision_4,0.0
faithfulness_5,0.0
answer_relevancy_5,0.9365255647648664
context_recall_5,1.0
context_precision_5,0.9999999999
faithfulness_6,0.1111111111111111
answer_relevancy_6,0.9125619268816548
context_recall_6,1.0
context_precision_6,0.0
faithfulness_7,0.1
answer_relevancy_7,0.8193836444718579
context_recall_7,1.0
context_precision_7,0.9999999999
