Métrica,Pontuação
faithfulness_1,1.0
answer_relevancy_1,0.8619316349521711
context_recall_1,0.0
context_precision_1,0.49999999995
faithfulness_2,0.5
answer_relevancy_2,0.7022125093158441
context_recall_2,0.0
context_precision_2,0.0
faithfulness_3,0.0
answer_relevancy_3,0.0
context_recall_3,0.0
context_precision_3,0.0
faithfulness_4,0.0
answer_relevancy_4,0.8887570390088606
context_recall_4,0.0
context_precision_4,0.0
faithfulness_5,0.5
answer_relevancy_5,0.0
context_recall_5,1.0
context_precision_5,0.0
