Métrica,Pontuação
faithfulness_1,1.0
answer_relevancy_1,0.0
context_recall_1,0.0
context_precision_1,0.99999999995
faithfulness_2,1.0
answer_relevancy_2,0.8339960822277647
context_recall_2,0.0
context_precision_2,0.0
faithfulness_3,1.0
answer_relevancy_3,0.0
context_recall_3,0.0
context_precision_3,0.0
faithfulness_4,1.0
answer_relevancy_4,0.0
context_recall_4,0.0
context_precision_4,0.0
faithfulness_5,0.0
answer_relevancy_5,0.9283972581869259
context_recall_5,0.2222222222222222
context_precision_5,0.0
