Métrica,Pontuação
faithfulness_1,1.0
answer_relevancy_1,0.0
context_recall_1,0.0
context_precision_1,0.0
faithfulness_2,0.5
answer_relevancy_2,0.0
context_recall_2,0.0
context_precision_2,0.249999999975
faithfulness_3,1.0
answer_relevancy_3,0.7598055393113433
context_recall_3,1.0
context_precision_3,0.9999999999
faithfulness_4,1.0
answer_relevancy_4,1.0000000000000004
context_recall_4,1.0
context_precision_4,0.9999999999
faithfulness_5,1.0
answer_relevancy_5,0.7149873596627195
context_recall_5,1.0
context_precision_5,0.9999999999
faithfulness_6,1.0
answer_relevancy_6,0.7032705767513278
context_recall_6,1.0
context_precision_6,0.0
faithfulness_7,1.0
answer_relevancy_7,0.0
context_recall_7,0.0
context_precision_7,0.0
