Métrica,Pontuação
faithfulness_1,0.3333333333333333
answer_relevancy_1,0.7559335653745051
context_recall_1,0.0
context_precision_1,0.49999999995
faithfulness_2,0.2
answer_relevancy_2,0.0
context_recall_2,0.0
context_precision_2,0.0
faithfulness_3,0.14285714285714285
answer_relevancy_3,0.0
context_recall_3,0.0
context_precision_3,0.0
faithfulness_4,0.0
answer_relevancy_4,0.0
context_recall_4,0.0
context_precision_4,0.0
faithfulness_5,
answer_relevancy_5,0.0
context_recall_5,1.0
context_precision_5,0.9999999999
