Métrica,Pontuação
faithfulness_1,1.0
answer_relevancy_1,0.0
context_recall_1,0.0
context_precision_1,0.0
faithfulness_2,0.0
answer_relevancy_2,0.0
context_recall_2,0.0
context_precision_2,0.99999999995
faithfulness_3,1.0
answer_relevancy_3,0.7598055393113433
context_recall_3,1.0
context_precision_3,0.9999999999
faithfulness_4,1.0
answer_relevancy_4,0.9982318593805884
context_recall_4,1.0
context_precision_4,0.99999999995
faithfulness_5,1.0
answer_relevancy_5,0.7149873596627195
context_recall_5,1.0
context_precision_5,0.9999999999
faithfulness_6,1.0
answer_relevancy_6,0.701899108858881
context_recall_6,1.0
context_precision_6,0.0
faithfulness_7,1.0
answer_relevancy_7,0.873565512431406
context_recall_7,1.0
context_precision_7,0.9999999999
