Métrica,Pontuação
faithfulness_1,0.5555555555555556
answer_relevancy_1,0.0
context_recall_1,1.0
context_precision_1,0.38525641024677887
faithfulness_2,0.0
answer_relevancy_2,0.0
context_recall_2,0.0
context_precision_2,0.0
faithfulness_3,1.0
answer_relevancy_3,0.0
context_recall_3,1.0
context_precision_3,0.9999999999
faithfulness_4,0.0
answer_relevancy_4,1.0000000000000004
context_recall_4,0.0
context_precision_4,0.0
faithfulness_5,0.25
answer_relevancy_5,0.9970720369565468
context_recall_5,1.0
context_precision_5,0.06249999999375
