Métrica,Pontuação
faithfulness_1,0.0
answer_relevancy_1,0.0
context_recall_1,0.0
context_precision_1,0.0
faithfulness_2,0.0
answer_relevancy_2,0.0
context_recall_2,0.0
context_precision_2,0.99999999995
faithfulness_3,0.75
answer_relevancy_3,0.9162497974967242
context_recall_3,1.0
context_precision_3,0.9999999999
faithfulness_4,0.0
answer_relevancy_4,0.9592853838234593
context_recall_4,1.0
context_precision_4,0.99999999995
faithfulness_5,0.1111111111111111
answer_relevancy_5,0.0
context_recall_5,1.0
context_precision_5,0.9999999999
faithfulness_6,0.15789473684210525
answer_relevancy_6,0.0
context_recall_6,1.0
context_precision_6,0.0
faithfulness_7,0.0
answer_relevancy_7,0.7264762700156259
context_recall_7,1.0
context_precision_7,0.9999999999
