Métrica,Pontuação
faithfulness_1,1.0
answer_relevancy_1,0.8084905458485873
context_recall_1,0.0
context_precision_1,0.9999999999
faithfulness_2,0.2
answer_relevancy_2,0.8195602389396589
context_recall_2,0.0
context_precision_2,0.3333333333
faithfulness_3,1.0
answer_relevancy_3,0.0
context_recall_3,1.0
context_precision_3,0.0
faithfulness_4,0.0
answer_relevancy_4,0.0
context_recall_4,0.0
context_precision_4,0.0
faithfulness_5,0.0
answer_relevancy_5,1.0
context_recall_5,0.2222222222222222
context_precision_5,0.0
