Métrica,Pontuação
faithfulness_1,0.0
answer_relevancy_1,0.7044271098204024
context_recall_1,1.0
context_precision_1,0.9999999999666667
faithfulness_2,1.0
answer_relevancy_2,0.0
context_recall_2,0.0
context_precision_2,0.0
faithfulness_3,0.5
answer_relevancy_3,0.0
context_recall_3,1.0
context_precision_3,0.9999999999
faithfulness_4,0.0
answer_relevancy_4,0.0
context_recall_4,0.0
context_precision_4,0.0
faithfulness_5,0.0
answer_relevancy_5,0.0
context_recall_5,0.1111111111111111
context_precision_5,0.3333333333
