Métrica,Pontuação
faithfulness_1,0.09090909090909091
answer_relevancy_1,0.0
context_recall_1,0.0
context_precision_1,0.0
faithfulness_2,0.0
answer_relevancy_2,0.0
context_recall_2,0.0
context_precision_2,0.0
faithfulness_3,0.38461538461538464
answer_relevancy_3,0.0
context_recall_3,1.0
context_precision_3,0.9999999999
faithfulness_4,0.35714285714285715
answer_relevancy_4,0.0
context_recall_4,1.0
context_precision_4,0.9999999999
faithfulness_5,0.6666666666666666
answer_relevancy_5,0.9186901088022582
context_recall_5,1.0
context_precision_5,0.9999999999
faithfulness_6,0.3
answer_relevancy_6,0.0
context_recall_6,1.0
context_precision_6,0.0
faithfulness_7,0.10526315789473684
answer_relevancy_7,0.0
context_recall_7,0.0
context_precision_7,0.0
